gene_1	gene_2
BPY2	UBE3A
EWSR1	TMSB4Y
BPY2	MAP1S
SHE2	PRY2
UTY	TLE1
TLE1	UTY
UTY	TLE2
DAZL	DAZ1
AR	SRY
DAZAP1	DAZ1
DAZAP2	DAZ1
DAZ1	DAZAP1
DAZ1	DAZAP2
DAZ1	DAZ1
DAZ1	DAZL
ACTA1	TMSB4Y
HEK2	PRY2
RPAP1	DDX3Y
PMS1	USP9Y
NCOA6	UTY
SRY	SP1
ZFY	ZBTB9
PCBD2	TGIF2LY
TSPY1	HIST2H2AC
TSPY1	HIST2H2BE
SRY	Xpo4
SAP25	DDX3Y
CSNK2A1	TSPY1
AIM3	PRY2
SRY	EP300
EP300	SRY
KPNB1	SRY
SRY	HDAC3
TOP1	PRY2
POT1	DDX3Y
SMAD3	SRY
YWHAQ	TGIF2LY
NAB3	PRY2
SIRT1	USP9Y
CALM1	RPS4Y1
VHL	DDX3Y
KDM5D	HIST3H3
KDM5D	PCGF6
SRY	WDR5
TERF1	RBMY1A1
TERF1	TMSB4Y
TERF2IP	TMSB4Y
POT1	TMSB4Y
CUL3	EIF1AY
CUL4A	CDY2B
CUL4A	CDY2A
SHBG	DDX3Y
ATXN1	EIF1AY
SMAD2	DDX3Y
SMAD3	DDX3Y
SHC1	USP9Y
PRY1	PRY2
SRY	Dlx5
SRY	Hhex
SRY	Utf1
SRY	Pou3f3
SRY	Tcf12
SRY	Olig2
SRY	Jun
SRY	Cebpa
SRY	Egr2
SRY	Sp1
SRY	Pax3
VCY1B	APP
TSPY2	APP
ESR1	DDX3Y
UBC	CDY1B
YWHAE	RBMY1A1
Hoxa1	HSFY1
USP9Y	UBC
DAZ1	PUM2
DAZ1	QKI
DAZ1	BOLL
DAZ1	DZIP1
DAZ1	DZIP1L
DAZ1	DZIP3
CD81	DDX3Y
CD81	RPS4Y1
IGSF8	DDX3Y
IGSF8	RPS4Y1
ICAM1	RPS4Y1
PRDX2	UTY
UBX2	PRY2
SPI1	PRY2
GAS1	PRY2
MYO5	PRY2
SRPK2	EIF1AY
FBXO6	DDX3Y
WWOX	DDX3Y
CSNK1E	USP9Y
HSFY1	E2F7
HSFY1	HSFY2
HSFY1	NDUFS1
HSFY1	PPM1A
HSFY1	AIF1
HSFY1	RABEP1
RBFOX1	HSFY1
TBX6	HSFY1
HUWE1	EIF1AY
CIRBP	RBMY1A1
CIRBP	RBMY1F
CLK3	RBMY1A1
CLK3	RBMY1F
HNRNPF	HSFY1
HNRNPK	RBMY1A1
HNRNPK	RBMY1F
NAB2	TGIF2LY
RBM3	RBMY1A1
RBM3	RBMY1F
RBMY1A1	RBMY1A1
RBMY1A1	DAAM2
RBMY1A1	PRPF31
RBMY1A1	RBMX
RBMY1A1	APOBEC3C
RBMY1A1	PCDHB14
RBMY1A1	ZNF317
RBMY1A1	AEN
RBMY1A1	PRR3
RBMY1A1	LNX1
RBMY1A1	CBX2
SOX15	HSFY1
GCM2	HSFY1
SV2B	HSFY1
DAAM2	RBMY1F
PRPF31	RBMY1F
RBMX	RBMY1F
APOBEC3C	RBMY1F
MBIP	TGIF2LY
RASD1	RBMY1F
RBM47	HSFY1
QRICH1	HSFY1
PCDHB14	RBMY1F
AEN	RBMY1F
PRR3	RBMY1F
FAM103A1	RBMY1F
CBX2	RBMY1F
YTHDC1	RBMY1F
RBMY1F	RBMY1F
RBMY1F	ZNF385C
SUZ12	TBL1Y
RNF2	RPS4Y1
RNF2	ZFY
VSX1	USP9Y
RPS4Y1	RPS4Y2
PRPS1	RPS4Y1
DDX3Y	CCNB2
APP	VCY
REV3L	CDY1
KRAS	USP9Y
CLK1	RPS4Y1
ODF2	DDX3Y
POC1A	DDX3Y
RBMY1F	HNRNPK
ZNF317	RBMY1A1
PCNA	UTY
KIF1C	UTY
Hsph1	USP9Y
FOXK2	TBL1Y
CRY2	DDX3Y
MCM2	DDX3Y
RPT3	PRY2
APC1	PRY2
SNT1	PRY2
TIF2	PRY2
NHA1	PRY2
PKC1	PRY2
ABD1	PRY2
RPN6	PRY2
DBF4	PRY2
TRS23	PRY2
COG3	PRY2
SEC24	PRY2
ARP3	PRY2
VTI1	PRY2
POL1	PRY2
HSP10	PRY2
GLN4	PRY2
ACS1	PRY2
SCT1	PRY2
AST1	PRY2
YBL100W-C	PRY2
YCR075W-A	PRY2
PBP4	PRY2
PET100	PRY2
ADR1	PRY2
PIB1	PRY2
PFA5	PRY2
IRC4	PRY2
GDA1	PRY2
YER053C-A	PRY2
CAF16	PRY2
RPO41	PRY2
ULI1	PRY2
ERG4	PRY2
SDS23	PRY2
TOS8	PRY2
NEL1	PRY2
AVT3	PRY2
LOS1	PRY2
PRY2	SLX5
PRY2	SPE1
PRY2	SAC1
PRY2	INO4
PRY2	CKB2
PRY2	DIA2
PRY2	PDE2
PRY2	BTS1
MMM1	PRY2
COX19	PRY2
QRI5	PRY2
CUE4	PRY2
YMR196W	PRY2
PET111	PRY2
LAP2	PRY2
SFB2	PRY2
VAC7	PRY2
RIM21	PRY2
YOL107W	PRY2
MDY2	PRY2
SLP1	PRY2
BIL1	PRY2
GUP2	PRY2
DSS4	PRY2
ZNF746	RPS4Y1
ZNF746	RPS4Y2
EGFR	EIF1AY
NLGN3	NLGN4Y
TGIF2LY	TGIF2LX
EIF1AY	EIF1AX
TBL1Y	TBL1X
TBL1Y	NCOR2
ZFY	ZFX
EIF1AY	KLHL36
TBL1Y	TBL1XR1
TBL1Y	GPS2
TBL1Y	NCOR1
TBL1Y	HDAC3
ZFY	NSD1
TGIF2LY	LRP6
CLK3	USP9Y
TGIF2LY	PDCD4
HSFY1	TUBA3C
TGIF2LY	ANKHD1-EIF4EBP3
TGIF2LY	OGFR
ZFY	CACNB3
NLGN4Y	PRIM1
TGIF2LY	CRBN
TBL1Y	CAPN15
TGIF2LY	AHCYL2
TGIF2LY	PGP
TGIF2LY	GMNN
TGIF2LY	DCAF16
TGIF2LY	THNSL1
TGIF2LY	LRP5
NLGN4Y	PRIM2
TBL1Y	INTS6
TGIF2LY	IRGQ
TGIF2LY	PBK
HSFY1	SATB2
HSFY1	POTEF
HSFY1	CHD4
TBL1Y	MAP3K7
TGIF2LY	ARIH1
NCKIPSD	USP9Y
ZNF331	USP9Y
TGIF2LY	DPYSL5
CSNK1E	RPS4Y2
TGIF2LY	AHCYL1
TBL1Y	LRIF1
TGIF2LY	UBXN7
TBL1Y	CCT2
HSFY1	CHD3
HSFY1	MIS12
TBL1Y	TAB1
TBL1Y	DNAJB1
TBL1Y	WDR36
TBL1Y	CCT3
NUDCD2	DDX3Y
TGIF2LY	RALB
HS2ST1	USP9Y
TBL1Y	CCT7
TGIF2LY	EIF2AK3
TBL1Y	CCT6A
TGIF2LY	DPYSL2
TBL1Y	DNAJB4
AKT2	USP9Y
TGIF2LY	ANKRD17
TBL1Y	CCT4
TBL1Y	TCP1
TBL1Y	CHD8
TBL1Y	FBXL18
TBL1Y	CCT5
HSFY1	RAD51
TBL1Y	CCT6B
TGIF2LY	KLHL24
TBL1Y	TUBA4A
TBL1Y	TUBB8
FAA1	PRY2
FAA4	PRY2
CYLD	RPS4Y1
FOXA1	EIF1AY
JAK2	HSFY1
SMARCB1	HSFY1
ORF21	USP9Y
MTF1	DDX3Y
DHH1	PRY2
HRP1	RBMY1F
TAE1	RBMY1F
MUD2	RBMY1F
BFR1	PRY2
HNRNPL	NLGN4Y
HNRNPL	PCDH11Y
MIRLET7B	DDX3Y
MIRLET7D	DDX3Y
MIRLET7F1	DDX3Y
MIRLET7G	DDX3Y
MIR98	DDX3Y
MIR7-1	DDX3Y
MIR7-2	DDX3Y
MIR15B	DDX3Y
MIR18B	DDX3Y
MIR19B2	DDX3Y
MIR20A	DDX3Y
MIR25	DDX3Y
MIR31	DDX3Y
MIR34A	DDX3Y
MIR106A	DDX3Y
MIR106B	DDX3Y
MIR107	DDX3Y
MIR128-2	DDX3Y
MIR143	DDX3Y
MIR363	DDX3Y
KDM5D	KMT2A
PCBP1	DDX3Y
DBF4	MCM2
MCM2	MCM2
KMT2A	KMT2A
PUM2	PUM2
PCNA	PCNA
CKB2	CKB2
RPN6	RPN6
NAB2	NAB2
RAD51	RPT3
RPN6	RPT3
DSS4	FAA4
DIA2	MCM2
RPT3	RPN6
HRP1	NAB2
RPT3	RPT3
DAZAP2	DAZAP2
RBMX	FAM103A1
HNRNPK	HNRNPK
MBIP	MBIP
RBMX	LNX1
UBC	DAZAP2
WDR5	MBIP
PRPS1	PRPS1
CIRBP	RBMX
HNRNPK	RBMX
HNRNPK	QKI
APC1	APC1
MYO5	ARP3
MCM2	DBF4
RAD51	RAD51
RPO41	MTF1
MTF1	RPO41
VTI1	VTI1
DBF4	DBF4
CAF16	CAF16
SHE2	SHE2
MYO5	MYO5
TCP1	CCT2
APC1	DBF4
SEC24	SFB2
TOP1	HRP1
CCT3	CCT2
FAA1	FAA4
TCP1	CCT3
DBF4	POL1
GAS1	PKC1
DHH1	PKC1
CCT4	CCT2
TIF2	DHH1
CCT7	CCT2
CCT7	CCT4
NHA1	NHA1
POT1	POT1
DIA2	SLX5
DIA2	CKB2
BFR1	FAA1
BFR1	SCT1
BFR1	SAC1
BFR1	GDA1
ERG4	GDA1
FAA1	BFR1
GAS1	GDA1
GAS1	UBX2
GDA1	ERG4
GDA1	GAS1
GDA1	BFR1
SAC1	BFR1
SCT1	BFR1
SEC24	UBX2
UBX2	SEC24
UBX2	GAS1
CCT3	CCT4
CCT3	CCT5
CCT3	CCT7
CCT3	TCP1
CKB2	SAC1
RAD51	SLX5
RPN6	SLX5
CKB2	RPN6
HSP10	HSP10
SLX5	SLX5
EGFR	SHC1
YWHAQ	RABEP1
WDR5	KMT2A
KMT2A	WDR5
CALM1	AR
AR	SMAD3
NCOA6	AR
NCOA6	ESR1
AR	AR
SP1	AR
AR	NCOR1
AR	NCOR2
FOXA1	AR
NCOR1	AR
NCOR2	AR
SMAD3	AR
EGFR	AR
AR	NCOA6
AR	EGFR
MAP3K7	TAB1
TAB1	MAP3K7
E2F7	E2F7
EGFR	EGFR
NCOR1	HDAC3
NCOR1	GPS2
NCOR1	TBL1XR1
NCOR2	HDAC3
AR	HDAC3
CLK1	NCOR1
POT1	TERF1
NCOR1	TBL1X
TBL1X	NCOR1
TBL1X	NCOR2
HDAC3	NCOR1
HDAC3	NCOR2
TBL1XR1	NCOR1
TBL1X	HIST2H2BE
TBL1XR1	HIST2H2BE
EP300	ESR1
HDAC3	HDAC3
HDAC3	TBL1X
HDAC3	TBL1XR1
HDAC3	GPS2
GPS2	NCOR1
GPS2	TBL1X
GPS2	HDAC3
TBL1X	GPS2
TBL1X	HDAC3
HDAC3	TCP1
HDAC3	CCT5
SMARCB1	SMARCB1
EP300	SMAD2
HDAC3	VHL
NCOR2	NCOR1
NCOR2	TBL1X
NCOR1	SMARCB1
AR	NSD1
NSD1	AR
EP300	EP300
GPS2	EP300
EP300	GPS2
NCOA6	EP300
CSNK2A1	TOP1
CSNK2A1	SPI1
YWHAQ	AR
YWHAQ	ESR1
KMT2A	SMARCB1
ESR1	EP300
EP300	PCNA
PCNA	EP300
SHE2	PRY1
GPS2	CHD3
PBK	GPS2
RAD51	CHD3
DHH1	DHH1
COG3	COG3
UBX2	UBX2
ESR1	ESR1
SMAD2	EP300
DAZL	DAZL
HNRNPK	HNRNPL
HNRNPL	HNRNPK
HNRNPL	HNRNPL
KPNB1	SMAD3
SMAD3	KPNB1
RABEP1	RABEP1
JAK2	EGFR
EGFR	JAK2
TERF1	TERF1
CRY2	CRY2
SMAD3	SMAD2
MAP3K7	MAP3K7
TERF2IP	TERF2IP
SP1	SMAD3
TCP1	CCT4
TCP1	CCT5
TCP1	CCT6A
TCP1	CCT7
TERF1	KPNB1
SHC1	ESR1
ESR1	SHC1
ESR1	NCOA6
SHC1	APP
APP	SHC1
BTS1	BTS1
NAB3	NAB3
Jun	Jun
Jun	Hhex
Hhex	Jun
CD81	CD81
DAZAP1	DAZL
DAZAP2	DAZL
SHC1	JAK2
SMAD2	SMAD3
ACTA1	CCT4
ACTA1	CCT5
CD81	IGSF8
SMAD2	SP1
SMAD3	SP1
NCOR1	ESR1
ESR1	SMAD2
EWSR1	CALM1
DZIP3	DZIP3
EP300	HIST3H3
ACS1	ADR1
TAE1	BTS1
HEK2	BFR1
HEK2	NAB2
HEK2	SDS23
HEK2	NAB3
HEK2	HEK2
HEK2	PRY1
HEK2	DHH1
HEK2	SNT1
HEK2	VAC7
HEK2	SLX5
HEK2	AVT3
HEK2	AIM3
HEK2	RIM21
HEK2	MYO5
HEK2	DBF4
SAC1	CKB2
TLE1	TLE1
TLE1	TLE2
TLE2	TLE2
TLE2	TLE1
NCOA6	NCOR2
TBL1X	TBL1XR1
MAP3K7	CYLD
NCOR1	DZIP3
DZIP3	HIST2H2BE
CCT3	CCT3
HRP1	HRP1
AIM3	AIM3
WDR5	CHD8
DIA2	PMS1
NAB2	HSP10
NAB2	INO4
NAB2	QRI5
NAB2	SPI1
NAB2	TOP1
NAB2	YMR196W
NAB2	LOS1
NAB2	PBP4
NAB2	VTI1
NAB2	PET100
NAB2	TRS23
NAB2	DSS4
NAB2	BFR1
NAB2	ARP3
NAB2	FAA1
NAB2	BIL1
NAB2	CCT4
NAB2	PKC1
NAB2	ADR1
NAB2	MYO5
NAB2	LAP2
NAB2	CUE4
NAB2	PIB1
NAB2	HEK2
NAB2	TAE1
ACTA1	ACTA1
NAB2	SEC24
NAB2	MDY2
NAB2	PET111
NAB2	CCT7
NAB2	SLP1
NAB2	VAC7
NAB2	RPN6
NAB2	CKB2
NAB2	BTS1
NAB2	HRP1
NAB2	YCR075W-A
NAB2	ABD1
NAB2	RPT3
NAB2	MCM2
NAB2	NEL1
PKC1	SLX5
PKC1	CUE4
PKC1	GAS1
PKC1	AIF1
ABD1	TOS8
ABD1	POT1
ABD1	SAC1
ABD1	GAS1
SNT1	SAC1
SNT1	MUD2
SNT1	CUE4
SNT1	GAS1
SNT1	DIA2
DBF4	SAC1
DBF4	DIA2
TCP1	SNT1
TCP1	MYO5
COG3	SAC1
COG3	LOS1
COG3	DSS4
AVT3	SLX5
GAS1	SNT1
GAS1	BTS1
TOP1	SAC1
DIA2	SNT1
PDE2	BTS1
RPAP1	CCT6A
TCP1	RPO41
TCP1	RIM21
TCP1	DIA2
CUL3	CUL3
PMS1	UBC
PMS1	PMS1
PMS1	TOP1
PMS1	REV3L
PMS1	CUL3
PMS1	CYLD
CUL4A	UBC
CUL4A	PCNA
CUL4A	CRBN
CHD8	WDR5
ERG4	ERG4
MMM1	MMM1
EP300	HDAC3
GAS1	RIM21
SLX5	RAD51
SLX5	MTF1
RAD51	DIA2
SLX5	DIA2
DIA2	RAD51
RAD51	VAC7
ESR1	UBE3A
SLP1	MDY2
MDY2	SLP1
SP1	EP300
YWHAE	YWHAQ
YWHAE	ANKHD1-EIF4EBP3
HDAC3	EP300
NCOA6	WDR5
PCNA	EGFR
EGFR	PCNA
SUZ12	SUZ12
SP1	ESR1
NCOR1	EP300
NCOR2	EP300
EWSR1	HDAC3
EWSR1	SUZ12
FOXA1	TLE1
Utf1	Utf1
CUL4A	WDR5
CUL4A	TLE2
HDAC3	GMNN
SIRT1	AR
AR	SIRT1
SIRT1	NCOR1
SP1	RAD51
ESR1	SP1
EP300	SMAD3
EP300	SP1
NAB2	CHD4
CHD4	NAB2
NAB2	CHD3
SMARCB1	ACTA1
EP300	VHL
EP300	HIST2H2AC
HDAC3	SP1
AR	EP300
NCOR2	ATXN1
MTF1	EP300
EP300	MTF1
RIM21	AIM3
VTI1	AIM3
RNF2	KMT2A
SP1	NCOR2
SP1	NCOR1
CSNK2A1	HDAC3
SIRT1	SUZ12
SMAD2	SMAD2
TBL1XR1	HDAC3
RNF2	HIST2H2AC
SPE1	SPE1
SMAD3	EP300
TOP1	DIA2
TOP1	RAD51
TOP1	FAA1
HIST2H2BE	EP300
HIST2H2AC	EP300
VHL	CCT3
POL1	MCM2
ESR1	NCOR2
LRIF1	ESR1
HDAC3	ESR1
NCOR2	ESR1
ESR1	NCOR1
CHD3	CSNK2A1
NCOA6	NCOA6
SIRT1	TLE1
HDAC3	SPI1
SIRT1	CSNK2A1
CSNK2A1	GMNN
ERG4	BTS1
FAA4	SPE1
SCT1	BTS1
FAA1	SPE1
RAD51	ADR1
UBE3A	RNF2
RNF2	UBE3A
RNF2	RNF2
Sp1	Jun
Jun	Sp1
NCOR2	GPS2
DHH1	TIF2
UBE3A	UBE3A
TERF1	POT1
TERF1	CHD8
TERF1	CLK3
TERF1	RNF2
POT1	PCBP1
POT1	DNAJB1
KPNB1	KPNB1
UBC	DNAJB1
UBC	CCT5
UBC	CCT3
UBC	CHD4
UBC	NDUFS1
UBC	HNRNPK
UBC	RBM3
UBC	CSNK2A1
UBC	WDR5
UBC	CCT6A
UBC	KPNB1
UBC	HNRNPL
UBC	HNRNPF
SMAD2	ESR1
SMAD3	ESR1
HUWE1	HUWE1
CSNK2A1	CALM1
WDR5	HIST3H3
KMT2A	HIST3H3
HIST3H3	KMT2A
HIST3H3	WDR5
YWHAQ	CALM1
YWHAQ	YWHAE
CHD4	CHD3
CHD3	CHD4
CHD3	CHD3
EP300	ACTA1
UBE3A	ACTA1
UBE3A	CALM1
UBXN7	CUL3
NAB3	NAB2
UBXN7	VHL
UBXN7	CUL4A
HIST3H3	CBX2
TERF2IP	POT1
TOP1	HNRNPK
TOP1	HNRNPL
YWHAQ	TUBA3C
MMM1	SCT1
MMM1	ADR1
SAC1	SEC24
INO4	SEC24
UBX2	SAC1
UBX2	MMM1
SAC1	UBX2
MMM1	UBX2
INO4	GAS1
MMM1	YOL107W
GAS1	INO4
MMM1	MDY2
UBX2	BTS1
ESR1	WDR5
EGFR	UBC
CALM1	RALB
RALB	CALM1
CALM1	MBIP
CALM1	HUWE1
CRBN	CUL4A
UBE3A	YWHAE
DAZAP2	TLE1
MAP3K7	ZNF746
KRAS	CCT7
YWHAE	CALM1
AKT2	ESR1
ESR1	AKT2
CALM1	KRAS
SP1	SMAD2
PCNA	TOP1
HUWE1	PCNA
EGFR	CALM1
CYLD	UBC
VHL	HNRNPL
VHL	TUBA3C
VHL	TUBA4A
VHL	TCP1
VHL	CCT2
VHL	CCT4
VHL	CCT5
VHL	CCT7
VHL	CCT6A
VHL	HNRNPK
VHL	VHL
RNF2	HIST3H3
RNF2	PCGF6
WDR5	ESR1
CHD8	AR
JAK2	HIST3H3
COG3	SEC24
TERF1	TERF2IP
TERF2IP	RAD51
TERF2IP	TERF1
SIRT1	ESR1
SIRT1	HNRNPK
HIST3H3	SUZ12
CALM1	ESR1
WDR5	HDAC3
CHD4	CHD4
PCGF6	RNF2
PCGF6	WDR5
RNF2	CBX2
RNF2	WDR5
RNF2	CSNK2A1
CBX2	RNF2
SP1	CALM1
SP1	ODF2
HDAC3	YWHAQ
HDAC3	CSNK2A1
PCNA	CUL4A
UBE3A	ESR1
TERF1	DNAJB1
TERF1	MCM2
TERF1	TBL1X
TERF1	OGFR
TERF1	NUDCD2
TERF2IP	WDR5
TERF2IP	HNRNPK
TERF2IP	MCM2
TERF2IP	OGFR
TERF2IP	RPAP1
POT1	RPAP1
POT1	YWHAE
POT1	NUDCD2
ARIH1	ARIH1
CSNK2A1	VHL
VHL	JAK2
JAK2	VHL
PGP	RNF2
RNF2	PGP
CSNK2A1	CSNK2A1
LNX1	PBK
CUL3	UBXN7
CUL4A	UBXN7
CUL3	KLHL36
CUL3	KLHL24
CUL3	DNAJB1
CUL3	WDR5
CUL3	SMARCB1
CUL3	FAM103A1
CUL3	HUWE1
CUL3	YWHAE
CUL3	NDUFS1
CUL3	SRPK2
CUL3	CALM1
CUL3	PRPF31
CUL3	RBM3
CUL3	TCP1
CUL3	TUBA4A
CUL3	EWSR1
CUL3	HNRNPL
CUL3	CCT2
CUL3	CCT3
CUL3	HNRNPK
CUL3	PCNA
CUL3	RBMX
CUL3	YWHAQ
CUL3	CCT5
CUL3	CIRBP
CUL3	DAZAP1
CUL3	HNRNPF
CUL3	TUBA3C
CUL3	CCT4
CUL3	CCT6A
CUL3	KPNB1
CUL3	TOP1
CUL3	UBC
CUL3	CCT7
CUL3	HIST2H2BE
CUL4A	CUL4A
CUL4A	DCAF16
CUL4A	CUL3
CUL4A	TUBA4A
CUL4A	EWSR1
CUL4A	CCT5
CUL4A	HNRNPF
LRIF1	LRIF1
CHD3	LRIF1
CHD3	KPNB1
UBE3A	UBC
FAA4	FAA4
BFR1	BFR1
ESR1	CUL3
PKC1	PKC1
SHBG	SHBG
SHBG	UBE3A
SHBG	APOBEC3C
RNF2	UBC
NCOR1	NCOR2
TCP1	VHL
TBL1X	TBL1X
PRPF31	PRPF31
VHL	SP1
RBFOX1	HNRNPF
ATXN1	DAZAP2
PCBP1	EWSR1
QKI	HNRNPK
RBFOX1	ATXN1
RBFOX1	QKI
ATXN1	ATXN1
ATXN1	DZIP3
ATXN1	QRICH1
ATXN1	NCOR1
ATXN1	CIRBP
PCBP1	HNRNPK
PCBP1	QKI
MBIP	WDR5
SMAD2	CCT6A
SMAD3	CHD8
SMAD3	TCP1
SHC1	ACTA1
SHC1	CCT2
SHC1	CCT6A
MAP3K7	DAZAP2
EGFR	TAB1
AR	TBL1XR1
ESR1	HDAC3
ESR1	TBL1XR1
EP300	HIST2H2BE
FBXO6	CCT3
TOP1	KMT2A
WDR5	APP
TOP1	APP
EIF1AX	APP
ODF2	APP
QKI	APP
KRAS	APP
PCBD2	APP
LNX1	APP
SMAD3	APP
CUL3	APP
CLK3	APP
CSNK1E	APP
DNAJB1	APP
CSNK2A1	APP
DZIP1L	APP
SRPK2	APP
CCT7	APP
VHL	APP
MCM2	APP
SMARCB1	APP
UBE3A	APP
UBXN7	APP
AKT2	APP
PCBP1	APP
CIRBP	APP
PRDX2	APP
RBMX	HNRNPK
CCT2	CCT4
CCT2	CCT5
CCT2	CCT3
CCT5	CCT3
CCT2	CCT6A
CCT4	CCT6A
CCT5	CCT6A
CCT3	CCT6A
CCT7	CCT6A
CCT4	CCT3
CCT4	CCT7
CCT4	CCT5
CCT2	CCT7
CCT5	CCT7
PRIM1	PRIM2
HNRNPF	RBMX
HNRNPF	HNRNPK
CHD4	TBL1XR1
TCP1	CCT6B
CCT4	CCT6B
CCT2	CCT6B
CCT3	CCT6B
CCT5	CCT6B
AHCYL1	CCT5
NUDCD2	SIRT1
HUWE1	TBL1X
CHD3	HDAC3
APP	APP
Olig2	Olig2
EGFR	ESR1
ESR1	EGFR
ESR1	EWSR1
ESR1	HNRNPF
ESR1	HNRNPK
ESR1	RBMX
ESR1	TOP1
ESR1	CHD4
ESR1	SRPK2
ESR1	WDR36
UBE3A	AR
SMAD3	SMAD3
DHH1	CCT2
DHH1	FAA4
DHH1	GAS1
DHH1	LAP2
DHH1	HSP10
DHH1	NAB3
UBC	CHD3
UBC	HUWE1
UBC	TUBA3C
UBC	NCOA6
UBC	RABEP1
CCT2	ACTA1
YWHAE	KPNB1
YWHAE	PCBP1
YWHAE	MAP3K7
YWHAE	PRPS1
Tcf12	Tcf12
UBC	UBC
JAK2	JAK2
PKC1	RAD51
ATXN1	CRY2
ATXN1	QKI
ATXN1	YWHAE
SP1	SP1
SIRT1	CHD3
